Number|New (Shinjitai)|Old (Kyūjitai)|Radical|Strokes|Grade|Year added|English meaning|Readings|Readings Rōmaji
# Source wikipedia https://en.wikipedia.org/wiki/List_of_jōyō_kanji
# Note [4] – These characters are Unicode CJK Unified Ideographs for which the old form (kyūjitai) and the new form (shinjitai) have been unified under the Unicode standard. Although the old and new forms are distinguished under the JIS X 0213 standard, the old forms map to Unicode CJK Compatibility Ideographs which are considered by Unicode to be canonically equivalent to the new forms and may not be distinguished by user agents. Therefore depending on the user environment, it may not be possible to see the distinction between old and new forms of the characters. In particular, all Unicode normalization methods merge the old characters with the new ones.
#      [5] – The 5 kanji 茨・牙・韓・𠮟・栃 have specifically designated design variations described in the official Jōyō Kanji list, which apply only to those individual kanji.
#      [6] – These kanji readings are offset by one character to the right in the official Jōyō Kanji list, and are followed by a Japanese prefecture name in the remarks column. Therefore, in principal, these readings will only ever be used for those specific prefecture names and not in any other words.
#      [7] – The official Jōyō Kanji list states that "Due to the print typefaces which are currently available in computer systems, it is acceptable to use characters different from the ones show in this list (e.g. using 頬・賭・剥 instead of 頰・賭・剝, etc.)". Although the official document does not specifically designate the characters which this statement applies to, it is likely that it is applicable to the following 14 characters: 淫・葛・僅・煎・詮・嘲・捗・溺・塡・賭・剝・箸・蔽・頰.
#      [8] – The 5 kanji 餌・遡・遜・謎・餅 use one of the radicals 辶 / 𩙿. As stated on the first page of the official Jōyō Kanji list, although the officially correct form of those characters uses the forms 辶 / 𩙿, it is permissible to use instead the forms 辶 / 飠, which are indicated in square brackets in the official list.
1|亜|亞|二|7|S||sub-, Asia|ア|a
2|哀||口|9|S||pathetic|アイ、あわ-れ、あわ-れむ|ai, awa-re, awa-remu
3|挨||手|10|S|2010|push open|アイ|ai
4|愛||心|13|4||love|アイ|ai
5|曖||日|17|S|2010|not clear|アイ|ai
6|悪|惡|心|11|3||bad|アク、オ、わる-い|aku, o, waru-i
7|握||手|12|S||grip|アク、にぎ-る|aku, nigi-ru
8|圧|壓|土|5|5||pressure|アツ|atsu
9|扱||手|6|S||handle|あつか-う|atsuka-u
10|宛||宀|8|S|2010|allocate|あ-てる|a-teru
11|嵐||山|12|S|2010|storm|あらし|arashi
12|安||宀|6|3||cheap|アン、やす-い|an, yasu-i
13|案||木|10|4||plan|アン|an
14|暗||日|13|3||dark|アン、くら-い|an, kura-i
15|以||人|5|4||by means of|イ|i
16|衣||衣|6|4||clothes|イ、ころも|i, koromo
